qseqid	sallseqid	qlen	slen	qstart	qend	sstart	send	length	evalue	bitscore	score	pident	qframe	align_len	coverage	sample_name
contig_9081	contig_13747	91	91	1	83	1	83	83	1.94e-37	148	80	98.795	1	83	91.2087912087912	F14
contig_1047	contig_14280	92	86	6	91	1	86	86	8.53e-36	143	77	96.512	1	86	93.4782608695652	F15
contig_11498	contig_11493	92	93	1	90	2	91	90	2.35e-41	161	87	98.889	1	90	97.8260869565217	F15
contig_13487	contig_17948	91	92	1	91	1	91	91	1.39e-43	169	91	100	1	91	100	F15
contig_13581	contig_17747	91	91	1	91	1	91	91	1.39e-43	169	91	100	1	91	100	F15
contig_14809	contig_17747	91	91	1	90	1	91	91	2.32e-41	161	87	98.901	1	90	98.9010989010989	F15
contig_2806	contig_19910	92	91	2	88	1	88	88	5.1e-38	150	81	97.727	1	87	94.5652173913043	F15
contig_4109	contig_21525	91	91	1	91	1	91	91	3e-40	158	85	97.802	1	91	100	F15
contig_5966	contig_7091	91	91	2	91	2	91	90	4.99e-43	167	90	100	1	90	98.9010989010989	F15
contig_7412	contig_17948	90	92	1	90	1	91	91	2.31e-36	145	78	95.604	1	90	100	F15
contig_7862	contig_10113	86	91	2	86	1	86	86	1.31e-33	135	73	95.349	1	85	98.8372093023256	F15
contig_8611	contig_9668	90	92	1	90	2	92	91	1.07e-39	156	84	97.802	1	90	100	F15
contig_9081	contig_11523	91	91	1	91	1	91	91	1.39e-43	169	91	100	1	91	100	F15
contig_11498	contig_925	92	91	1	91	1	91	91	2.63e-40	158	85	97.802	1	91	98.9130434782609	M11
contig_13487	contig_8774	91	93	1	91	2	92	91	2.59e-40	158	85	97.802	1	91	100	M11
contig_3118	contig_11106	93	91	1	90	1	91	91	2.06e-41	161	87	98.901	1	90	96.7741935483871	M11
contig_3138	contig_2027	92	78	14	92	1	78	80	9.58e-30	122	66	95	1	79	85.8695652173913	M11
contig_4675	contig_18138	86	91	1	86	1	87	87	1.45e-37	148	80	97.701	1	86	100	M11
contig_7412	contig_8774	90	93	1	90	2	92	91	9.19e-40	156	84	97.802	1	90	100	M11
contig_7862	contig_16486	86	91	2	86	1	86	86	1.13e-33	135	73	95.349	1	85	98.8372093023256	M11
contig_1047	contig_4597	92	96	5	91	10	96	87	8.34e-37	145	78	96.552	1	87	94.5652173913043	M10
contig_11498	contig_2941	92	92	2	91	3	92	90	3.85e-40	156	84	97.778	1	90	97.8260869565217	M10
contig_20082	contig_6079	93	89	3	91	1	89	89	1.42e-29	121	65	91.011	1	89	95.6989247311828	M10
contig_2806	contig_1041	92	93	2	88	3	90	88	1.79e-38	150	81	97.727	1	87	94.5652173913043	M10
contig_3138	contig_3495	92	92	1	92	1	91	93	1.08e-35	141	76	94.624	1	92	100	M10
contig_4675	contig_2298	86	141	6	86	56	137	82	1.66e-33	134	72	96.341	1	81	94.1860465116279	M10
contig_8611	contig_4508	90	91	1	89	1	91	91	3.78e-35	139	75	94.505	1	89	98.8888888888889	M10
contig_1047	contig_18815	92	79	13	91	1	79	79	7.77e-32	130	70	96.203	1	79	85.8695652173913	M6
contig_11498	contig_15668	92	92	1	91	2	92	91	3.56e-40	158	85	97.802	1	91	98.9130434782609	M6
contig_13487	contig_2459	91	92	1	91	2	92	91	1.63e-38	152	82	96.703	1	91	100	M6
contig_13581	contig_18976	91	92	1	91	2	92	91	1.62e-43	169	91	100	1	91	100	M6
contig_14809	contig_18976	91	92	1	90	2	92	91	2.72e-41	161	87	98.901	1	90	98.9010989010989	M6
contig_16028	contig_3817	87	92	1	85	1	85	85	3.44e-35	141	76	96.471	1	85	97.7011494252874	M6
contig_23075	contig_4042	90	83	1	77	1	78	78	2.12e-27	115	62	93.59	1	77	85.5555555555556	M6
contig_2806	contig_21970	92	91	2	88	1	88	88	5.96e-38	150	81	97.727	1	87	94.5652173913043	M6
contig_3118	contig_11020	93	91	1	90	1	91	91	2.79e-41	161	87	98.901	1	90	96.7741935483871	M6
contig_3138	contig_19377	92	91	2	92	2	91	92	6e-33	134	72	93.478	1	91	98.9130434782609	M6
contig_4675	contig_14004	86	92	1	86	2	88	87	2.03e-37	148	80	97.701	1	86	100	M6
contig_7412	contig_2459	90	92	1	90	2	92	91	2.68e-41	161	87	98.901	1	90	100	M6
contig_7862	contig_8928	86	91	3	86	2	86	85	2.62e-36	145	78	97.647	1	84	97.6744186046512	M6
contig_8611	contig_9813	90	91	1	90	1	91	91	2.68e-41	161	87	98.901	1	90	100	M6
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FGXCONTROL
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	F18
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	F16
